date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:27	92/92	---MCZ	200	added ('OK')	text/plain	date:Fri,%2011%20Jul%202025%2002:14:24%20GMT	https://circlelayer.com/robots.txt		(from )
17:54:27	128160/128160	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Jul%202025%2022:59:37%20GMT	https://circlelayer.com/	C:/Meus%20Sites/Singularity/circlelayer.com/index.html	(from )
17:54:28	27362/27362	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Jun%202025%2003:13:30%20GMT	https://circlelayer.com/assets/images/favicon.png	C:/Meus%20Sites/Singularity/circlelayer.com/assets/images/favicon.png	(from https://circlelayer.com/)
17:54:28	121440/121440	---MCZ	200	added ('OK')	text/css	date:Sun,%2015%20Jun%202025%2002:29:56%20GMT	https://circlelayer.com/assets/css/tailwind-4.1.10.css	C:/Meus%20Sites/Singularity/circlelayer.com/assets/css/tailwind-4.1.10.css	(from https://circlelayer.com/)
17:54:28	240906/240906	---MCZ	200	added ('OK')	text/css	date:Thu,%2026%20Jun%202025%2007:13:56%20GMT	https://circlelayer.com/assets/css/style1.css	C:/Meus%20Sites/Singularity/circlelayer.com/assets/css/style1.css	(from https://circlelayer.com/)
17:54:28	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Meus%20Sites/Singularity/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://circlelayer.com/)
17:54:28	40104/40104	---MCZ	200	added ('OK')	text/css	date:Tue,%2022%20Jul%202025%2022:02:16%20GMT	https://circlelayer.com/assets/css/custom.css	C:/Meus%20Sites/Singularity/circlelayer.com/assets/css/custom.css	(from https://circlelayer.com/)
17:54:29	26053/26053	---MCZ	200	added ('OK')	text/css	date:Fri,%2020%20Jun%202025%2022:28:23%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/Meus%20Sites/Singularity/unpkg.com/aos@2.3.1/dist/aos.css	(from https://circlelayer.com/)
17:54:30	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/Meus%20Sites/Singularity/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://circlelayer.com/)
17:54:30	59305/59305	---M-Z	200	added ('OK')	text/css	etag:%22613fa20b-3171%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	C:/Meus%20Sites/Singularity/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	(from https://circlelayer.com/)
17:54:30	32564/32564	---MCZ	200	added ('OK')	text/css	etag:W/%22411acf0fd5fe4d42c580db72f82077fd%22	https://cdn.plyr.io/3.7.8/plyr.css	C:/Meus%20Sites/Singularity/cdn.plyr.io/3.7.8/plyr.css	(from https://circlelayer.com/)
17:54:30	119965/119965	---MCZ	200	added ('OK')	application/javascript	etag:W/%22253ee1a5a9cd9c396c1cc6700b1c4a3b%22	https://cdn.plyr.io/3.7.8/plyr.polyfilled.js	C:/Meus%20Sites/Singularity/cdn.plyr.io/3.7.8/plyr.polyfilled.js	(from https://circlelayer.com/)
17:54:30	665043/665043	---M--	200	added ('OK')	video/webm	date:Thu,%2026%20Jun%202025%2005:50:52%20GMT	https://circlelayer.com/assets/videos/preloader.webm	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/preloader.webm	(from https://circlelayer.com/)
17:54:31	46287/46287	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Jun%202025%2003:12:22%20GMT	https://circlelayer.com/assets/images/logo-light.png	C:/Meus%20Sites/Singularity/circlelayer.com/assets/images/logo-light.png	(from https://circlelayer.com/)
17:54:31	46700/46700	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Jun%202025%2003:12:28%20GMT	https://circlelayer.com/assets/images/logo-dark.png	C:/Meus%20Sites/Singularity/circlelayer.com/assets/images/logo-dark.png	(from https://circlelayer.com/)
17:54:31	2236066/2236066	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2015%20Jul%202025%2015:18:49%20GMT	https://unpkg.com/@splinetool/viewer@1.10.11/build/spline-viewer.js	C:/Meus%20Sites/Singularity/unpkg.com/@splinetool/viewer@1.10.11/build/spline-viewer.js	(from https://circlelayer.com/)
17:54:32	35243/35243	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Jul%202025%2022:58:33%20GMT	https://circlelayer.com/ecosystem	C:/Meus%20Sites/Singularity/circlelayer.com/ecosystem.html	(from https://circlelayer.com/)
17:54:32	62119/62119	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Jul%202025%2023:00:10%20GMT	https://circlelayer.com/technology	C:/Meus%20Sites/Singularity/circlelayer.com/technology.html	(from https://circlelayer.com/)
17:54:33	108896/108896	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Jul%202025%2022:58:19%20GMT	https://circlelayer.com/developers	C:/Meus%20Sites/Singularity/circlelayer.com/developers.html	(from https://circlelayer.com/)
17:54:33	53868/53868	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Jul%202025%2001:00:37%20GMT	https://circlelayer.com/hackathon	C:/Meus%20Sites/Singularity/circlelayer.com/hackathon.html	(from https://circlelayer.com/)
17:54:33	314/314	---M--	200	added ('OK')	image/png	date:Sun,%2020%20Jul%202025%2021:47:48%20GMT	https://circlelayer.com/assets/images/arrow-next.png	C:/Meus%20Sites/Singularity/circlelayer.com/assets/images/arrow-next.png	(from https://circlelayer.com/)
17:54:33	2133/2133	---M--	200	added ('OK')	image/png	date:Sun,%2020%20Jul%202025%2021:47:34%20GMT	https://circlelayer.com/assets/images/brand-2.png	C:/Meus%20Sites/Singularity/circlelayer.com/assets/images/brand-2.png	(from https://circlelayer.com/)
